class,level,time,latitude,longitude
C,5.7,01 May 2010 at 01:36,173.044,23.7315
C,3.6,04 May 2010 at 16:24,227.097,40.9016
C,2.3,05 May 2010 at 07:12,226.583,40.9299
C,8.8,05 May 2010 at 11:48,226.151,40.9339
C,2.0,07 May 2010 at 07:48,223.656,40.8042
C,9.3,08 May 2010 at 05:00,220.985,40.6475
C,1.8,08 May 2010 at 11:48,220.988,40.6356
C,1.0,12 June 2010 at 04:12,109.453,-23.0439
C,1.2,13 June 2010 at 07:12,108.304,-23.2236
C,6.1,12 June 2010 at 09:12,100.435,23.6602
C,1.2,13 June 2010 at 06:12,102.356,23.2329
C,1.2,13 June 2010 at 07:36,102.325,23.2643
C,1.2,13 June 2010 at 08:12,102.410,23.2365
C,1.7,13 June 2010 at 09:48,102.575,23.1705
C,1.5,13 June 2010 at 10:48,102.608,23.1672
C,1.5,14 June 2010 at 00:48,102.849,23.1136
C,1.2,08 July 2010 at 22:12,-21.7565,16.7514
C,1.8,09 July 2010 at 09:00,-23.1333,19.0771
C,3.4,09 July 2010 at 19:48,-22.5154,18.6866
C,2.6,13 July 2010 at 10:48,335.674,19.4733
C,2.4,17 July 2010 at 18:00,334.657,20.1209
C,1.4,20 July 2010 at 13:48,201.910,-22.9774
C,2.2,27 July 2010 at 04:24,200.843,-23.0782
C,2.8,28 July 2010 at 20:48,199.909,-23.8813
C,3.2,01 August 2010 at 08:24,78.3407,14.5103
C,1.3,05 August 2010 at 21:36,-7.70223,11.3908
C,4.4,14 August 2010 at 10:00,350.057,16.3946
C,1.6,14 August 2010 at 18:12,349.424,17.0489
C,5.4,15 August 2010 at 18:36,348.645,17.2298
C,1.4,16 August 2010 at 16:36,348.554,17.6506
C,2.5,06 September 2010 at 15:00,49.9235,19.6615
C,1.3,17 September 2010 at 01:24,143.932,-29.8880
C,1.4,21 September 2010 at 07:48,67.4063,19.1485
C,2.3,04 October 2010 at 16:36,66.5926,21.3016
C,1.7,28 September 2010 at 09:48,85.1317,19.1736
C,2.0,28 September 2010 at 22:12,85.2549,19.4119
C,1.7,17 October 2010 at 09:00,205.609,-19.4175
C,1.6,17 October 2010 at 17:36,205.624,-19.2205
C,1.2,18 October 2010 at 11:36,206.483,-19.3464
C,2.5,18 October 2010 at 16:48,207.103,-19.2251
C,1.3,19 October 2010 at 06:48,207.437,-19.1622
C,1.1,19 October 2010 at 10:12,207.202,-19.1567
C,1.5,20 October 2010 at 11:48,207.647,-19.3988
C,1.0,26 October 2010 at 08:12,93.5807,20.5971
C,2.3,25 October 2010 at 22:12,60.3507,21.0625
C,1.2,27 October 2010 at 17:00,60.4837,20.4558
C,1.8,31 October 2010 at 03:24,61.2089,20.6679
C,5.7,31 October 2010 at 04:36,61.2640,20.6749
C,1.1,01 November 2010 at 04:48,61.3771,20.8779
C,1.0,04 November 2010 at 02:48,219.135,-19.0319
C,9.7,05 November 2010 at 01:00,210.718,-19.7426
C,2.0,06 November 2010 at 02:36,211.161,-20.2492
C,4.5,06 November 2010 at 04:48,211.342,-20.2248
C,1.6,06 November 2010 at 08:36,211.014,-20.2286
C,1.4,06 November 2010 at 19:12,210.814,-20.2365
C,5.4,07 November 2010 at 01:36,210.395,-20.3375
C,1.1,11 November 2010 at 05:24,202.618,-21.4811
C,2.9,11 November 2010 at 02:12,202.785,-21.4454
C,4.7,11 November 2010 at 07:24,202.426,-21.5291
C,2.2,11 November 2010 at 13:12,202.155,-21.5832
C,4.3,11 November 2010 at 16:12,202.270,-21.6068
C,1.1,11 November 2010 at 19:36,202.089,-21.6484
C,4.6,12 November 2010 at 01:36,201.559,-21.7179
C,1.0,12 November 2010 at 03:48,201.448,-21.7571
C,1.1,12 November 2010 at 05:24,201.237,-21.7493
C,1.5,12 November 2010 at 08:12,201.114,-21.7505
C,1.5,12 November 2010 at 13:48,200.977,-21.8865
C,1.3,13 November 2010 at 11:36,200.438,-22.1399
C,1.1,14 November 2010 at 00:00,200.144,-22.0791
C,2.3,15 November 2010 at 07:48,170.615,13.9335
C,1.0,01 December 2010 at 06:24,329.423,13.1025
C,2.3,14 December 2010 at 15:48,175.148,15.6418
C,5.3,15 December 2010 at 06:36,74.1459,20.6099
C,1.3,31 December 2010 at 04:24,323.410,12.7451
C,1.9,04 January 2011 at 03:24,264.079,34.3516
C,1.1,03 January 2011 at 23:36,207.550,-14.2028
C,1.1,21 January 2011 at 15:24,341.896,22.1226
C,3.3,21 January 2011 at 04:12,341.590,23.4759
C,1.0,21 January 2011 at 12:12,341.829,22.4753
C,1.4,21 January 2011 at 14:36,341.888,22.2302
C,2.2,21 January 2011 at 17:12,342.001,21.9684
C,1.3,21 January 2011 at 20:36,342.055,21.8298
C,2.4,22 January 2011 at 08:24,342.153,21.4190
C,1.4,24 January 2011 at 06:12,342.385,20.5753
C,1.2,27 January 2011 at 12:00,346.501,17.9181
C,1.0,08 February 2011 at 19:00,175.023,15.3357
C,4.0,08 February 2011 at 21:12,174.892,15.3204
C,1.1,09 February 2011 at 00:12,174.759,15.3124
C,1.9,10 February 2011 at 06:36,167.648,17.3313
C,2.0,10 February 2011 at 07:00,167.294,17.6658
C,4.7,10 February 2011 at 12:36,165.352,19.2430
C,2.6,10 February 2011 at 13:48,165.064,19.1959
C,2.6,12 February 2011 at 15:12,33.2778,19.3905
C,1.1,13 February 2011 at 12:36,34.9130,-20.1814
C,4.7,13 February 2011 at 14:00,34.9083,-20.1777
C,1.6,14 February 2011 at 02:48,34.8557,-20.2494
C,8.3,14 February 2011 at 04:48,34.8436,-20.2321
C,6.6,14 February 2011 at 07:00,34.8269,-20.2212
C,1.8,14 February 2011 at 08:48,34.7508,-20.2478
C,1.7,14 February 2011 at 12:00,34.7009,-20.2661
C,9.4,14 February 2011 at 12:48,34.7016,-20.2622
C,7.0,14 February 2011 at 14:24,34.6828,-20.2464
