class,level,time,latitude,longitude
M,1.2,05 May 2010 at 17:19,225.4,40.885
M,2.0,12 June 2010 at 00:57,100.472,23.494
M,2.9,16 October 2010 at 19:12,205.148,-19.734
M,1.6,04 November 2010 at 23:58,210.908,-19.745
M,1.6,04 November 2010 at 23:58,210.908,-19.745
M,5.4,06 November 2010 at 15:36,211.085,-20.312
M,1.9,09 February 2011 at 01:31,174.72,15.335
M,6.6,13 February 2011 at 17:38,34.919,-20.182
M,2.2,14 February 2011 at 17:26,34.559,-20.242
M,1.1,16 February 2011 at 07:44,329.351,12.125
M,1.6,16 February 2011 at 14:25,34.621,-20.091
M,6.6,18 February 2011 at 10:11,34.652,-19.831
M,1.4,18 February 2011 at 13:03,34.672,-19.801
M,1.3,18 February 2011 at 21:04,333.042,14.015
M,3.5,24 February 2011 at 07:35,177.923,15.97
M,1.1,28 February 2011 at 12:52,161.834,26.288
M,1.2,07 March 2011 at 05:13,162.444,24.173
M,1.5,07 March 2011 at 07:54,186.31,-18.33
M,1.4,07 March 2011 at 08:07,162.603,24.15
M,1.8,07 March 2011 at 09:20,162.603,24.181
M,1.9,07 March 2011 at 14:30,90.974,8.907
M,3.7,07 March 2011 at 20:12,162.613,24.231
M,1.5,07 March 2011 at 21:50,185.764,-18.204
M,1.3,08 March 2011 at 02:29,185.171,-18.118
M,1.5,08 March 2011 at 03:58,34.62,-20.404
M,5.3,08 March 2011 at 10:44,184.511,-18.04
M,4.4,08 March 2011 at 18:28,182.954,-18.151
M,1.4,08 March 2011 at 20:16,182.552,-18.096
M,1.7,09 March 2011 at 11:07,90.563,8.809
M,1.7,09 March 2011 at 14:02,90.553,8.821
M,1.3,12 March 2011 at 04:43,90.892,9.107
M,4.2,14 March 2011 at 19:52,62.893,17.912
M,1.4,23 March 2011 at 02:17,197.937,-16.639
M,1.3,15 April 2011 at 17:12,338.709,13.021
M,1.8,22 April 2011 at 04:57,190.38,-18.366
M,1.2,22 April 2011 at 15:53,189.436,-18.375
M,1.1,28 May 2011 at 21:50,35.637,-20.795
M,1.4,29 May 2011 at 10:33,34.018,-20.548
M,2.5,07 June 2011 at 06:41,26.558,-22.004
M,1.3,14 June 2011 at 21:47,166.635,16.428
M,1.1,27 July 2011 at 16:07,357.228,19.489
M,9.3,30 July 2011 at 02:09,327.814,16.198
M,1.4,02 August 2011 at 06:19,330.002,16.471
M,1.1,03 August 2011 at 03:37,330.313,16.472
M,1.7,03 August 2011 at 04:32,301.402,17.453
M,6.0,03 August 2011 at 13:48,330.431,16.428
M,9.3,04 August 2011 at 03:57,330.662,16.342
M,3.5,08 August 2011 at 18:10,298.412,17.871
M,2.5,09 August 2011 at 03:54,298.126,17.816
M,3.2,04 September 2011 at 11:45,295.153,21.805
M,1.6,05 September 2011 at 04:28,295.544,21.945
M,1.2,05 September 2011 at 07:58,297.24,21.611
M,5.3,06 September 2011 at 01:50,222.746,14.939
M,6.7,08 September 2011 at 15:46,223.251,15.477
